key	en	es	state	batch	reviewer	rev_date	qupath_ver	issues	notes
name	DL Pixel Classifier	DL Pixel Classifier	KEEP_EN	DLPIXEL-ES-v0.8.5	ChatGPT	2026-09-03	0.7.0		
description	Deep learning pixel classifier for QuPath supporting multi-channel and multi-bit-depth images.	Clasificador de píxeles mediante aprendizaje profundo para QuPath compatible con imágenes multicanal y con múltiples profundidades de bits.	DRAFT	DLPIXEL-ES-v0.8.5	ChatGPT	2026-09-03	0.7.0		
menu.training	Train DL Pixel Classifier...	Entrenar DL Pixel Classifier...	DRAFT	DLPIXEL-ES-v0.8.5	ChatGPT	2026-09-03	0.7.0		
menu.inference	Apply DL Pixel Classifier...	Aplicar DL Pixel Classifier...	DRAFT	DLPIXEL-ES-v0.8.5	ChatGPT	2026-09-03	0.7.0		
menu.manageModels	Manage Classifiers...	Gestionar clasificadores...	DRAFT	DLPIXEL-ES-v0.8.5	ChatGPT	2026-09-03	0.7.0		
menu.toggleOverlay	Toggle Prediction Overlay	Alternar superposición de predicción	DRAFT	DLPIXEL-ES-v0.8.5	ChatGPT	2026-09-03	0.7.0		
menu.removeOverlay	Remove Classification Overlay	Eliminar superposición de clasificación	DRAFT	DLPIXEL-ES-v0.8.5	ChatGPT	2026-09-03	0.7.0		
menu.setupEnvironment	Setup DL Environment...	Configurar entorno DL...	DRAFT	DLPIXEL-ES-v0.8.5	ChatGPT	2026-09-03	0.7.0		
menu.rebuildEnvironment	Rebuild DL Environment...	Reconstruir entorno DL...	DRAFT	DLPIXEL-ES-v0.8.5	ChatGPT	2026-09-03	0.7.0		
menu.pythonConsole	Python Console	Consola de Python	DRAFT	DLPIXEL-ES-v0.8.5	ChatGPT	2026-09-03	0.7.0		
setup.title	DL Pixel Classifier - Environment Setup	DL Pixel Classifier - Configuración del entorno	DRAFT	DLPIXEL-ES-v0.8.5	ChatGPT	2026-09-03	0.7.0		
setup.description	This extension requires a Python environment with PyTorch and related deep learning libraries.	Esta extensión requiere un entorno de Python con PyTorch y bibliotecas relacionadas de aprendizaje profundo.	DRAFT	DLPIXEL-ES-v0.8.5	ChatGPT	2026-09-03	0.7.0		
