key	en	es	state	batch	reviewer	rev_date	qupath_ver	issues	notes
Startup.license	QuPath is open-source software that is shared\nunder the terms of the GNU General Public License v3	QuPath es software de código abierto distribuido\nbajo los términos de la Licencia Pública General GNU v3	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Startup.showLicenses	Show licenses	Mostrar licencias	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Startup.use	This software is not intended for clinical, diagnostic or therapeutic purposes.	Este software no está destinado a usos clínicos, diagnósticos ni terapéuticos.	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Startup.dontShowAgain	Don't show this again (always accept)	No volver a mostrar (aceptar siempre)	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Startup.accept	Accept	Aceptar	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Startup.exit	Exit	Salir	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Startup.title	Notice	Aviso	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Startup.extensions.title	Extensions	Extensiones	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Startup.extensions.prompt	Add extra features by installing optional extensions.	Añada funciones adicionales instalando extensiones opcionales.	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Startup.extensions.header	Do you want to open QuPath's Extension Manager?	¿Desea abrir el gestor de extensiones de QuPath?	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Startup.extensions.more	Find out more (website)	Más información (sitio web)	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
Startup.extensions.remindMe	Remind me next time	Recordármelo la próxima vez	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
ContextHelp.title	Context help	Ayuda contextual	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
ContextHelp.defaultHelpText	Move the cursor over something to view any available help text	Sitúe el cursor sobre un elemento para ver el texto de ayuda disponible	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
ContextHelp.warning.maskImageNames	"Image names are currently masked. \nYou can change this by right-clicking in the project pane and selecting ""Mask image names"". "	"Los nombres de las imágenes están ocultos actualmente. \nPuede cambiarlo haciendo clic derecho en el panel de proyecto y seleccionando ""Ocultar nombres de imagen"". "	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
ContextHelp.warning.selectionMode	Selection mode is active - this will switch drawing tools to become selection tools instead	El modo de selección está activo: las herramientas de dibujo pasarán a funcionar como herramientas de selección	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
ContextHelp.warning.hiddenObjectsPredicate	Overlay options are set to hide objects based on a predicate	Las opciones de superposición están configuradas para ocultar objetos según un predicado	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
ContextHelp.warning.annotationsHidden	Annotations are hidden	Las anotaciones están ocultas	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
ContextHelp.warning.detectionsHidden	Detections are hidden	Las detecciones están ocultas	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
ContextHelp.warning.classificationsHidden	Objects might be hidden based on their classification.\nYou can change this in the 'Classifications' list under the 'Annotations' tab.	Puede haber objetos ocultos según su clasificación.\nPuede cambiarlo en la lista 'Clasificaciones', dentro de la pestaña 'Anotaciones'.	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
ContextHelp.warning.tmaCoresHidden	The TMA grid is hidden	La cuadrícula TMA está oculta	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
ContextHelp.warning.pixelOverlayHidden	Pixel classification overlay is hidden	La superposición de clasificación de píxeles está oculta	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
ContextHelp.warning.opacityZero	Opacity slider is very low (unselected objects won't be visible)	El control de opacidad está muy bajo (los objetos no seleccionados no serán visibles)	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
ContextHelp.warning.noImage	No image is open in the current viewer	No hay ninguna imagen abierta en el visor actual	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
ContextHelp.warning.noProject	No project is open (QuPath works best using projects)	No hay ningún proyecto abierto (QuPath funciona mejor con proyectos)	REVIEWED	GLOBAL-ES-0.7.0	Claude	2026-09-02	0.7.0		
